unit,geo_time,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PPS_HAB,SK02,16900,17700,16100,17500,18600,19300,19100,20000,20500,19400,19500,20600 e
PPS_HAB,SK03,13600,15000,13900,15500,15300,16000,16200,16900,18000,16800,17100,18000 e
PPS_HAB,SK04,11800,13100,11800,12900,13300,14000,14000,14800,15800,14700,15300,16300 e
PPS_HAB,TR10,20700,21400,19700,21800,24300,25700,27100,29100,32200,31600,33100,33100
PPS_HAB,TR21,13400,13900,12800,15100,16800,17500,18200,19800,21000,20600,21500,21800
PPS_HAB,TR22,11000,11700,11100,12600,13700,14200,14300,15700,16600,16700,17400,17300
PPS_HAB,TR31,14600,14900,13500,15200,17200,18200,19200,20800,22200,21800,22900,23400
PPS_HAB,TR32,11000,11200,10200,11800,13200,13800,14300,15700,16700,16400,17000,17100
PPS_HAB,TR33,9400,10100,9500,10500,11500,12800,13200,14500,15700,15500,16100,16700
PPS_HAB,TR41,14200,14500,13100,14500,16300,17200,18400,19900,21500,21000,21800,22100
PPS_HAB,TR42,15100,15800,13900,16000,18600,19600,21100,23000,25200,24400,25800,26500
PPS_HAB,TR51,19500,19900,18600,20000,21400,21800,23000,24500,26300,26100,26300,26000
PPS_HAB,TR52,9000,9400,9000,9700,11100,11600,12800,14200,15600,15100,15700,15700
PPS_HAB,TR61,14400,14500,13400,15500,16900,17000,17300,18600,20000,18200,18600,19300
PPS_HAB,TR62,9000,9400,8800,10200,11100,11900,12300,13500,14700,14600,15000,14900
PPS_HAB,TR63,7000,7400,6900,8300,9200,9500,10000,10800,11900,11800,12400,12700
PPS_HAB,TR71,7700,8000,7700,9200,10400,10600,11100,12300,13700,13100,13700,13700
PPS_HAB,TR72,9000,9300,8700,10100,11400,12000,12800,13700,14900,14700,15000,14700
PPS_HAB,TR81,8000,8100,7400,8700,10200,10700,11500,12600,13500,13400,14100,14500
PPS_HAB,TR82,8500,8900,8500,9800,10900,11500,11800,12700,13700,13600,13500,12900
PPS_HAB,TR83,7600,8300,7800,9000,9700,10500,10900,11800,13200,12800,12800,12500
PPS_HAB,TR90,8300,8600,8100,9300,10100,10900,11300,12400,14300,13200,13700,13500
PPS_HAB,TRA1,6800,7200,7300,8500,9400,10100,10500,11400,12300,12300,12600,12700
PPS_HAB,TRA2,4600,4700,4700,5900,6200,6800,6800,7300,8400,8300,8700,8700
PPS_HAB,TRB1,7000,7200,7000,8000,8900,9400,9800,10500,11700,11600,11700,11400
PPS_HAB,TRB2,4400,4600,4400,5200,5800,6600,6900,7200,7600,7700,7700,7700
PPS_HAB,TRC1,7200,7300,6700,7700,8600,9100,10300,11600,12900,12600,12900,13300
PPS_HAB,TRC2,5100,5100,4800,5800,6300,6600,6900,7500,8200,8000,8000,7800
PPS_HAB,TRC3,5000,5200,5100,6300,6900,7500,7800,8300,9000,8900,9300,9400
PPS_HAB,UKC1,20500,20300,19400,20000,19700,20200,20200,20700,21900,21100,21200,21300
PPS_HAB,UKC2,23200,22800,21200,22100,22500,23100,22900,23600,25000,24400,24500,25000
PPS_HAB,UKD1,23700,24300,22500,24000,23600,24500,25300,26300,28100,26800,27000,27200
PPS_HAB,UKD3,25700,24900,23600,24300,24000,25000,25600,26100,27700,27300,28100,28600
PPS_HAB,UKD4,23300,22700,20500,21500,21600,22500,22600,23300,25400,25500,25500,25800
PPS_HAB,UKD6,33700,32000,30000,31700,31900,33600,34200,35900,37200,37600,38700,39600
PPS_HAB,UKD7,22100,22200,21500,22200,22000,21800,21900,23000,24400,23600,24100,24600
PPS_HAB,UKE1,23900,24000,21800,22100,21700,22100,22000,22700,24300,23600,24400,24600
PPS_HAB,UKE2,26900,26100,24000,24500,24900,25600,26000,26400,27500,27200,28400,28500
PPS_HAB,UKE3,21200,20100,18600,19500,19500,20200,20300,20800,22100,21500,21800,22100
PPS_HAB,UKE4,25700,24600,23100,23500,23700,24300,24500,25100,26900,26200,26400,27100
PPS_HAB,UKF1,22900,22400,20600,21800,22300,23000,23300,23800,25000,24500,24600,24800
PPS_HAB,UKF2,25700,25400,23400,24800,24300,25100,25600,26500,28000,27500,27600,28100
PPS_HAB,UKF3,20700,20800,19100,19800,19900,20800,21400,21700,22600,21700,22400,22500
PPS_HAB,UKG1,24600,24500,22300,23600,24600,26100,27100,28400,30300,29200,30500,31000
PPS_HAB,UKG2,21500,21500,19400,20500,20900,21400,21700,22200,23600,23300,23700,24200
PPS_HAB,UKG3,24000,23200,21200,22500,22500,22900,23500,24500,25900,26200,26300,27100
PPS_HAB,UKH1,26000,25500,23700,24700,24700,25900,26100,27000,28100,27900,28300,29000
PPS_HAB,UKH2,31100,31100,28000,28200,27700,28000,29100,30800,32700,32700,34400,35300
PPS_HAB,UKH3,23800,23400,21300,22500,22200,22800,22800,23900,25300,25200,26200,26400
PPS_HAB,UKI3,150900,148500,140600,147300,149800,157100,161900,171400,179100,184000,187300,190500
PPS_HAB,UKI4,46600,45800,42900,44600,46100,46800,46700,48500,50900,50200,51000,50900
PPS_HAB,UKI5,22900,22000,19100,20000,19800,21000,21400,21800,22900,22400,22100,22100
PPS_HAB,UKI6,29500,28200,24800,25300,24900,26100,26000,27200,27900,27800,27600,28100
PPS_HAB,UKI7,35900,34800,30300,31500,31500,33500,34500,37000,39400,38800,38700,39100
PPS_HAB,UKJ1,40000,39700,36700,38200,39000,40300,40600,42300,44900,43400,43800,44500
PPS_HAB,UKJ2,30200,30500,28000,29300,29100,30300,30800,31700,33700,32900,33000,32700
PPS_HAB,UKJ3,29200,29000,27000,28700,29000,29900,30300,31200,32700,31700,31900,32400
PPS_HAB,UKJ4,23800,24100,21800,22800,23000,23500,23700,24400,26100,26000,26000,26100
PPS_HAB,UKK1,30000,29700,27900,29500,29300,30200,30300,32000,33000,32500,32800,33100
PPS_HAB,UKK2,23200,23300,21700,22300,22200,22800,22900,23900,24900,24500,25300,25600
PPS_HAB,UKK3,19500,19700,17800,18500,18600,19300,19400,19700,20900,20900,21800,21900
PPS_HAB,UKK4,22100,21900,20200,21400,21500,22000,22300,22700,23900,23600,23800,23900
PPS_HAB,UKL1,18200,17700,16400,17300,17700,18300,18800,19200,20100,19900,20200,20500
PPS_HAB,UKL2,25800,24500,23100,24000,24700,25800,25900,26200,28000,28000,28000,28600
PPS_HAB,UKM5,41000,42700,39700,41500,41900,44500,46200,47500,47100,41900,41200,42300
PPS_HAB,UKM6,25700,26100,24600,25600,26500,27100,27500,28100,29000,28300,29400,29500
PPS_HAB,UKM7,30000,29200,27700,28000,28000,29000,29700,30700,32100,31900,32200,32900
PPS_HAB,UKM8,25300,25400,23600,23700,24000,24600,25200,26500,27500,26700,27400,27800
PPS_HAB,UKM9,17200,17400,16100,16500,16600,17100,17600,18500,19000,19000,19300,19300
PPS_HAB,UKN0,23400,22600,20900,21100,21200,22100,22300,23000,24600,24800,25800,25400
